id;acc;crs;name
121;0.9400;0.7859;king_crab___Alaska_crab___Alaskan_king_crab___Alaska_king_crab___Paralithodes_camtschatica
122;0.9800;0.8313;American_lobster___Northern_lobster___Maine_lobster___Homarus_americanus
123;0.9200;0.7759;spiny_lobster___langouste___rock_lobster___crawfish___crayfish___sea_crawfish
124;0.9200;0.7616;crayfish___crawfish___crawdad___crawdaddy
125;1.0000;0.6836;hermit_crab
126;0.8600;0.6274;isopod
127;0.9400;0.4560;white_stork___Ciconia_ciconia
128;0.9600;0.5430;black_stork___Ciconia_nigra
129;1.0000;0.7053;spoonbill
130;1.0000;0.7278;flamingo
131;0.9600;0.6685;little_blue_heron___Egretta_caerulea
132;0.9800;0.5462;American_egret___great_white_heron___Egretta_albus
133;0.9400;0.6310;bittern
134;0.0000;0.6050;crane
135;1.0000;0.7310;limpkin___Aramus_pictus
136;0.9800;0.6234;European_gallinule___Porphyrio_porphyrio
137;0.9800;0.4377;American_coot___marsh_hen___mud_hen___water_hen___Fulica_americana
138;0.9800;0.6656;bustard
139;1.0000;0.6315;ruddy_turnstone___Arenaria_interpres
140;1.0000;0.5429;red-backed_sandpiper___dunlin___Erolia_alpina
141;0.9600;0.4808;redshank___Tringa_totanus
142;1.0000;0.5929;dowitcher
143;0.9800;0.5150;oystercatcher___oyster_catcher
144;1.0000;0.6875;pelican
145;0.9800;0.6101;king_penguin___Aptenodytes_patagonica
146;1.0000;0.6431;albatross___mollymawk
147;0.9800;0.5564;grey_whale___gray_whale___devilfish___Eschrichtius_gibbosus___Eschrichtius_robustus
148;1.0000;0.4129;killer_whale___killer___orca___grampus___sea_wolf___Orcinus_orca
149;0.9600;0.7344;dugong___Dugong_dugon
150;0.9200;0.5723;sea_lion
151;0.9400;0.8155;Chihuahua
152;0.9800;0.8100;Japanese_spaniel
153;0.9600;0.8267;Maltese_dog___Maltese_terrier___Maltese
154;0.9600;0.8083;Pekinese___Pekingese___Peke
155;0.9600;0.8144;Shih-Tzu
156;1.0000;0.8090;Blenheim_spaniel
157;0.9600;0.8345;papillon
158;1.0000;0.7904;toy_terrier
159;0.9800;0.7602;Rhodesian_ridgeback
160;1.0000;0.7383;Afghan_hound___Afghan
161;0.9200;0.7916;basset___basset_hound
162;0.9800;0.7788;beagle
163;0.7600;0.7966;bloodhound___sleuthhound
164;0.9600;0.8380;bluetick
165;0.9400;0.8204;black-and-tan_coonhound
166;1.0000;0.8349;Walker_hound___Walker_foxhound
167;0.8600;0.8252;English_foxhound
168;0.9600;0.8269;redbone
169;1.0000;0.7875;borzoi___Russian_wolfhound
170;0.8600;0.8012;Irish_wolfhound
171;0.9600;0.8205;Italian_greyhound
172;0.9800;0.7702;whippet
173;0.9400;0.7242;Ibizan_hound___Ibizan_Podenco
174;1.0000;0.7775;Norwegian_elkhound___elkhound
175;0.8800;0.8305;otterhound___otter_hound
176;0.9800;0.7449;Saluki___gazelle_hound
177;1.0000;0.7725;Scottish_deerhound___deerhound
