id;acc;crs;name
121;0.8400;0.7073;king_crab___Alaska_crab___Alaskan_king_crab___Alaska_king_crab___Paralithodes_camtschatica
122;0.8200;0.7742;American_lobster___Northern_lobster___Maine_lobster___Homarus_americanus
123;0.7800;0.6756;spiny_lobster___langouste___rock_lobster___crawfish___crayfish___sea_crawfish
124;0.6600;0.6880;crayfish___crawfish___crawdad___crawdaddy
125;0.8800;0.5953;hermit_crab
126;0.5400;0.5383;isopod
127;0.8400;0.4473;white_stork___Ciconia_ciconia
128;0.9200;0.5195;black_stork___Ciconia_nigra
129;1.0000;0.6890;spoonbill
130;0.9000;0.7232;flamingo
131;0.9200;0.6051;little_blue_heron___Egretta_caerulea
132;0.9400;0.5203;American_egret___great_white_heron___Egretta_albus
133;0.8600;0.5346;bittern
134;0.0000;0.6799;crane
135;0.9000;0.6949;limpkin___Aramus_pictus
136;0.9800;0.5960;European_gallinule___Porphyrio_porphyrio
137;0.8800;0.4286;American_coot___marsh_hen___mud_hen___water_hen___Fulica_americana
138;0.8800;0.6378;bustard
139;0.9800;0.6287;ruddy_turnstone___Arenaria_interpres
140;0.8800;0.5266;red-backed_sandpiper___dunlin___Erolia_alpina
141;0.9000;0.4931;redshank___Tringa_totanus
142;0.9200;0.5911;dowitcher
143;0.9000;0.5116;oystercatcher___oyster_catcher
144;0.9200;0.6460;pelican
145;0.8400;0.5757;king_penguin___Aptenodytes_patagonica
146;0.9200;0.6043;albatross___mollymawk
147;0.8400;0.4794;grey_whale___gray_whale___devilfish___Eschrichtius_gibbosus___Eschrichtius_robustus
148;0.9800;0.3614;killer_whale___killer___orca___grampus___sea_wolf___Orcinus_orca
149;0.9000;0.6228;dugong___Dugong_dugon
150;0.6800;0.5079;sea_lion
151;0.7200;0.7655;Chihuahua
152;0.9600;0.7709;Japanese_spaniel
153;0.9200;0.7796;Maltese_dog___Maltese_terrier___Maltese
154;0.9000;0.7660;Pekinese___Pekingese___Peke
155;0.8600;0.7716;Shih-Tzu
156;0.9400;0.7852;Blenheim_spaniel
157;0.9400;0.8169;papillon
158;0.7800;0.7567;toy_terrier
159;0.8400;0.7185;Rhodesian_ridgeback
160;0.8400;0.6620;Afghan_hound___Afghan
161;0.9400;0.7497;basset___basset_hound
162;0.9000;0.7195;beagle
163;0.5800;0.7446;bloodhound___sleuthhound
164;0.8000;0.7888;bluetick
165;0.7800;0.7965;black-and-tan_coonhound
166;0.8400;0.7805;Walker_hound___Walker_foxhound
167;0.6400;0.8047;English_foxhound
168;0.8600;0.7816;redbone
169;0.9200;0.7359;borzoi___Russian_wolfhound
170;0.7200;0.7381;Irish_wolfhound
171;0.7800;0.7694;Italian_greyhound
172;0.8200;0.7396;whippet
173;0.7000;0.6889;Ibizan_hound___Ibizan_Podenco
174;0.8400;0.7364;Norwegian_elkhound___elkhound
175;0.6800;0.7771;otterhound___otter_hound
176;0.9000;0.6992;Saluki___gazelle_hound
177;0.9400;0.7114;Scottish_deerhound___deerhound
178;0.9000;0.7694;Weimaraner
179;0.8000;0.8090;Staffordshire_bullterrier___Staffordshire_bull_terrier
180;0.7600;0.8167;American_Staffordshire_terrier___Staffordshire_terrier___American_pit_bull_terrier___pit_bull_terrier
181;0.8200;0.7322;Bedlington_terrier
182;0.7600;0.7200;Border_terrier
183;0.8600;0.7746;Kerry_blue_terrier
184;0.8200;0.7159;Irish_terrier
185;0.8200;0.6549;Norfolk_terrier
186;0.9200;0.7192;Norwich_terrier
187;0.7600;0.7296;Yorkshire_terrier
188;0.8400;0.6885;wire-haired_fox_terrier
189;0.7800;0.6764;Lakeland_terrier
190;0.8600;0.7682;Sealyham_terrier___Sealyham
191;0.8200;0.7069;Airedale___Airedale_terrier
192;0.7000;0.6690;cairn___cairn_terrier
193;0.7600;0.7434;Australian_terrier
194;0.8000;0.7769;Dandie_Dinmont___Dandie_Dinmont_terrier
195;0.9200;0.7446;Boston_bull___Boston_terrier
196;0.7800;0.7625;miniature_schnauzer
197;0.8600;0.7213;giant_schnauzer
198;0.9200;0.8092;standard_schnauzer
199;0.8800;0.7037;Scotch_terrier___Scottish_terrier___Scottie
200;0.8600;0.7604;Tibetan_terrier___chrysanthemum_dog
201;0.8200;0.7258;silky_terrier___Sydney_silky
202;0.7800;0.7603;soft-coated_wheaten_terrier
203;0.9200;0.6904;West_Highland_white_terrier
204;0.9000;0.7871;Lhasa___Lhasa_apso
205;0.7200;0.7255;flat-coated_retriever
206;0.8400;0.6774;curly-coated_retriever
207;0.8800;0.7641;golden_retriever
208;0.8600;0.7661;Labrador_retriever
209;0.7800;0.6749;Chesapeake_Bay_retriever
210;0.8000;0.7324;German_short-haired_pointer
211;0.8400;0.7207;vizsla___Hungarian_pointer
212;0.8800;0.7562;English_setter
213;0.9200;0.8049;Irish_setter___red_setter
214;0.7600;0.7507;Gordon_setter
215;0.8600;0.7014;Brittany_spaniel
216;0.9400;0.7712;clumber___clumber_spaniel
217;0.9400;0.6895;English_springer___English_springer_spaniel
218;0.9600;0.7730;Welsh_springer_spaniel
219;0.8000;0.8062;cocker_spaniel___English_cocker_spaniel___cocker
220;0.8400;0.6645;Sussex_spaniel
221;0.9400;0.7160;Irish_water_spaniel
222;0.8400;0.7573;kuvasz
223;0.8400;0.6348;schipperke
224;0.7800;0.7174;groenendael
225;0.8800;0.7756;malinois
226;0.6400;0.7229;briard
227;0.7600;0.8047;kelpie
228;0.8800;0.7156;komondor
229;0.8000;0.7266;Old_English_sheepdog___bobtail
230;0.8000;0.7142;Shetland_sheepdog___Shetland_sheep_dog___Shetland
231;0.9200;0.8081;collie
232;0.8200;0.7545;Border_collie
233;0.7600;0.7176;Bouvier_des_Flandres___Bouviers_des_Flandres
234;0.8200;0.7653;Rottweiler
235;0.9000;0.8014;German_shepherd___German_shepherd_dog___German_police_dog___alsatian
236;0.8400;0.6868;Doberman___Doberman_pinscher
237;0.8400;0.7389;miniature_pinscher
238;0.8400;0.7235;Greater_Swiss_Mountain_dog
239;0.9800;0.7616;Bernese_mountain_dog
240;0.9800;0.7399;Appenzeller
241;0.9200;0.7848;EntleBucher
242;0.7400;0.7649;boxer
243;0.8800;0.8390;bull_mastiff
244;0.9200;0.8438;Tibetan_mastiff
245;0.9000;0.7598;French_bulldog
246;0.7000;0.7839;Great_Dane
247;0.9400;0.7355;Saint_Bernard___St_Bernard
248;0.9000;0.8299;Eskimo_dog___husky
249;0.8800;0.7468;malamute___malemute___Alaskan_malamute
250;0.8600;0.7706;Siberian_husky
251;0.9400;0.7466;dalmatian___coach_dog___carriage_dog
252;0.8600;0.7657;affenpinscher___monkey_pinscher___monkey_dog
253;0.9000;0.7855;basenji
254;0.8800;0.7101;pug___pug-dog
255;0.9600;0.8209;Leonberg
256;0.8000;0.7711;Newfoundland___Newfoundland_dog
257;0.8400;0.7442;Great_Pyrenees
258;0.9800;0.7081;Samoyed___Samoyede
259;0.9600;0.8343;Pomeranian
260;0.9600;0.7894;chow___chow_chow
261;0.8800;0.8134;keeshond
262;0.8400;0.7898;Brabancon_griffon
263;0.8200;0.6941;Pembroke___Pembroke_Welsh_corgi
264;0.8600;0.7441;Cardigan___Cardigan_Welsh_corgi
265;0.8000;0.7206;toy_poodle
266;0.7800;0.7401;miniature_poodle
267;0.7000;0.7211;standard_poodle
268;0.8200;0.7921;Mexican_hairless
269;0.9200;0.7947;timber_wolf___grey_wolf___gray_wolf___Canis_lupus
270;0.8600;0.7195;white_wolf___Arctic_wolf___Canis_lupus_tundrarum
271;0.8200;0.7919;red_wolf___maned_wolf___Canis_rufus___Canis_niger
272;0.8000;0.6945;coyote___prairie_wolf___brush_wolf___Canis_latrans
273;0.8400;0.6509;dingo___warrigal___warragal___Canis_dingo
274;0.9600;0.7299;dhole___Cuon_alpinus
275;0.9800;0.7576;African_hunting_dog___hyena_dog___Cape_hunting_dog___Lycaon_pictus
276;0.9200;0.6185;hyena___hyaena
277;0.8400;0.7521;red_fox___Vulpes_vulpes
278;0.8800;0.6851;kit_fox___Vulpes_macrotis
279;0.9200;0.7362;Arctic_fox___white_fox___Alopex_lagopus
280;0.8800;0.7289;grey_fox___gray_fox___Urocyon_cinereoargenteus
281;0.8200;0.8197;tabby___tabby_cat
282;0.7800;0.8171;tiger_cat
283;0.9000;0.8668;Persian_cat
284;0.9200;0.8691;Siamese_cat___Siamese
285;0.6000;0.7352;Egyptian_cat
286;0.9200;0.7898;cougar___puma___catamount___mountain_lion___painter___panther___Felis_concolor
287;0.8200;0.7880;lynx___catamount
288;0.9800;0.8258;leopard___Panthera_pardus
289;0.9400;0.8088;snow_leopard___ounce___Panthera_uncia
290;0.8800;0.8191;jaguar___panther___Panthera_onca___Felis_onca
291;0.8600;0.8466;lion___king_of_beasts___Panthera_leo
