id;acc;crs;name
0;0.9600;0.6816;tench___Tinca_tinca
1;1.0000;0.6551;goldfish___Carassius_auratus
2;0.9800;0.8373;great_white_shark___white_shark___man-eater___man-eating_shark___Carcharodon_carcharias
3;0.9600;0.8115;tiger_shark___Galeocerdo_cuvieri
4;0.9800;0.7154;hammerhead___hammerhead_shark
5;0.9400;0.8361;electric_ray___crampfish___numbfish___torpedo
6;0.9800;0.7014;stingray
7;0.9200;0.7909;cock
8;0.9800;0.7464;hen
9;1.0000;0.8002;ostrich___Struthio_camelus
10;1.0000;0.6102;brambling___Fringilla_montifringilla
11;1.0000;0.6017;goldfinch___Carduelis_carduelis
12;1.0000;0.6852;house_finch___linnet___Carpodacus_mexicanus
13;1.0000;0.6390;junco___snowbird
14;0.9800;0.5336;indigo_bunting___indigo_finch___indigo_bird___Passerina_cyanea
15;0.9800;0.7094;robin___American_robin___Turdus_migratorius
16;0.9600;0.6413;bulbul
17;0.9800;0.7751;jay
18;0.9800;0.6998;magpie
19;1.0000;0.6940;chickadee
20;0.9400;0.4320;water_ouzel___dipper
21;1.0000;0.7184;kite
22;1.0000;0.7817;bald_eagle___American_eagle___Haliaeetus_leucocephalus
23;1.0000;0.7226;vulture
24;0.9800;0.8073;great_grey_owl___great_gray_owl___Strix_nebulosa
25;0.9800;0.7891;European_fire_salamander___Salamandra_salamandra
26;0.9800;0.7528;common_newt___Triturus_vulgaris
27;0.9600;0.6865;eft
28;0.9400;0.7679;spotted_salamander___Ambystoma_maculatum
29;1.0000;0.7698;axolotl___mud_puppy___Ambystoma_mexicanum
30;0.9200;0.7595;bullfrog___Rana_catesbeiana
31;0.9800;0.7353;tree_frog___tree-frog
32;0.9200;0.6648;tailed_frog___bell_toad___ribbed_toad___tailed_toad___Ascaphus_trui
33;0.9600;0.7494;loggerhead___loggerhead_turtle___Caretta_caretta
34;0.9600;0.6500;leatherback_turtle___leatherback___leathery_turtle___Dermochelys_coriacea
35;0.9200;0.7975;mud_turtle
36;1.0000;0.8669;terrapin
37;0.9800;0.8980;box_turtle___box_tortoise
38;1.0000;0.8007;banded_gecko
39;0.9600;0.8842;common_iguana___iguana___Iguana_iguana
40;1.0000;0.7507;American_chameleon___anole___Anolis_carolinensis
41;0.9800;0.7780;whiptail___whiptail_lizard
42;0.9600;0.7806;agama
43;0.9600;0.8849;frilled_lizard___Chlamydosaurus_kingi
44;0.9200;0.7702;alligator_lizard
45;0.9200;0.7150;Gila_monster___Heloderma_suspectum
46;0.9600;0.7171;green_lizard___Lacerta_viridis
47;0.9400;0.8244;African_chameleon___Chamaeleo_chamaeleon
48;1.0000;0.8527;Komodo_dragon___Komodo_lizard___dragon_lizard___giant_lizard___Varanus_komodoensis
49;0.9000;0.7138;African_crocodile___Nile_crocodile___Crocodylus_niloticus
50;0.9800;0.8188;American_alligator___Alligator_mississipiensis
51;0.9600;0.8973;triceratops
52;0.9600;0.7798;thunder_snake___worm_snake___Carphophis_amoenus
53;0.9800;0.7939;ringneck_snake___ring-necked_snake___ring_snake
54;0.9200;0.8761;hognose_snake___puff_adder___sand_viper
55;0.9600;0.8108;green_snake___grass_snake
56;0.9600;0.8590;king_snake___kingsnake
57;0.9800;0.9026;garter_snake___grass_snake
58;0.9600;0.5994;water_snake
59;0.9200;0.6837;vine_snake
60;0.9200;0.7983;night_snake___Hypsiglena_torquata
61;0.9600;0.8812;boa_constrictor___Constrictor_constrictor
62;0.9000;0.8024;rock_python___rock_snake___Python_sebae
63;0.9400;0.8854;Indian_cobra___Naja_naja
64;0.9400;0.7190;green_mamba
65;0.9200;0.6439;sea_snake
66;0.9200;0.8435;horned_viper___cerastes___sand_viper___horned_asp___Cerastes_cornutus
67;0.9600;0.8000;diamondback___diamondback_rattlesnake___Crotalus_adamanteus
68;0.9000;0.7981;sidewinder___horned_rattlesnake___Crotalus_cerastes
69;1.0000;0.6577;trilobite
70;1.0000;0.9025;harvestman___daddy_longlegs___Phalangium_opilio
71;0.9600;0.8194;scorpion
72;0.9800;0.7383;black_and_gold_garden_spider___Argiope_aurantia
73;0.9800;0.6428;barn_spider___Araneus_cavaticus
74;0.9600;0.6532;garden_spider___Aranea_diademata
75;0.9600;0.7537;black_widow___Latrodectus_mactans
76;1.0000;0.8897;tarantula
77;0.9200;0.8935;wolf_spider___hunting_spider
78;0.8800;0.7868;tick
79;0.9800;0.8146;centipede
80;1.0000;0.5619;black_grouse
81;0.9800;0.5767;ptarmigan
82;0.9800;0.8174;ruffed_grouse___partridge___Bonasa_umbellus
83;0.9800;0.5819;prairie_chicken___prairie_grouse___prairie_fowl
84;1.0000;0.8536;peacock
85;0.9600;0.7595;quail
86;1.0000;0.7390;partridge
87;0.9800;0.8288;African_grey___African_gray___Psittacus_erithacus
88;1.0000;0.9119;macaw
89;0.9600;0.7778;sulphur-crested_cockatoo___Kakatoe_galerita___Cacatua_galerita
90;1.0000;0.8571;lorikeet
91;0.9800;0.7491;coucal
92;1.0000;0.6839;bee_eater
93;1.0000;0.8092;hornbill
94;0.9800;0.6919;hummingbird
95;1.0000;0.7518;jacamar
96;0.9800;0.7508;toucan
97;1.0000;0.7554;drake
98;1.0000;0.5591;red-breasted_merganser___Mergus_serrator
99;0.9800;0.7174;goose
100;1.0000;0.8002;black_swan___Cygnus_atratus
101;0.9600;0.8135;tusker
102;1.0000;0.8138;echidna___spiny_anteater___anteater
103;0.9200;0.5467;platypus___duckbill___duckbilled_platypus___duck-billed_platypus___Ornithorhynchus_anatinus
104;0.9800;0.7680;wallaby___brush_kangaroo
105;0.9400;0.7850;koala___koala_bear___kangaroo_bear___native_bear___Phascolarctos_cinereus
106;0.9600;0.7886;wombat
107;0.9400;0.5658;jellyfish
108;0.9200;0.8015;sea_anemone___anemone
109;1.0000;0.7966;brain_coral
110;1.0000;0.6457;flatworm___platyhelminth
111;0.9600;0.7645;nematode___nematode_worm___roundworm
112;0.9600;0.8270;conch
113;0.9200;0.7097;snail
114;0.9400;0.7245;slug
115;1.0000;0.6789;sea_slug___nudibranch
116;1.0000;0.7252;chiton___coat-of-mail_shell___sea_cradle___polyplacophore
117;0.9200;0.8510;chambered_nautilus___pearly_nautilus___nautilus
118;0.9400;0.8470;Dungeness_crab___Cancer_magister
119;0.9600;0.5835;rock_crab___Cancer_irroratus
120;0.9800;0.7769;fiddler_crab
121;0.9600;0.8534;king_crab___Alaska_crab___Alaskan_king_crab___Alaska_king_crab___Paralithodes_camtschatica
122;0.9800;0.8958;American_lobster___Northern_lobster___Maine_lobster___Homarus_americanus
123;0.9400;0.8387;spiny_lobster___langouste___rock_lobster___crawfish___crayfish___sea_crawfish
124;0.9600;0.8156;crayfish___crawfish___crawdad___crawdaddy
125;1.0000;0.7860;hermit_crab
126;0.9000;0.6989;isopod
127;0.9800;0.5263;white_stork___Ciconia_ciconia
128;0.9600;0.6501;black_stork___Ciconia_nigra
129;1.0000;0.8482;spoonbill
130;0.9800;0.8480;flamingo
131;0.9800;0.7746;little_blue_heron___Egretta_caerulea
132;0.9600;0.6661;American_egret___great_white_heron___Egretta_albus
133;0.9600;0.7195;bittern
134;0.0000;0.7515;crane
135;1.0000;0.8597;limpkin___Aramus_pictus
136;0.9800;0.7161;European_gallinule___Porphyrio_porphyrio
137;0.9800;0.5511;American_coot___marsh_hen___mud_hen___water_hen___Fulica_americana
138;1.0000;0.7806;bustard
139;1.0000;0.6881;ruddy_turnstone___Arenaria_interpres
140;1.0000;0.6204;red-backed_sandpiper___dunlin___Erolia_alpina
141;0.9800;0.6556;redshank___Tringa_totanus
142;1.0000;0.7006;dowitcher
143;0.9800;0.6038;oystercatcher___oyster_catcher
144;1.0000;0.8056;pelican
145;0.9600;0.7189;king_penguin___Aptenodytes_patagonica
146;1.0000;0.6710;albatross___mollymawk
147;0.9800;0.6764;grey_whale___gray_whale___devilfish___Eschrichtius_gibbosus___Eschrichtius_robustus
148;0.9800;0.5304;killer_whale___killer___orca___grampus___sea_wolf___Orcinus_orca
149;0.9400;0.8502;dugong___Dugong_dugon
150;0.9600;0.6545;sea_lion
151;0.9400;0.9013;Chihuahua
