id;acc;crs;name
121;0.9400;0.8043;king_crab___Alaska_crab___Alaskan_king_crab___Alaska_king_crab___Paralithodes_camtschatica
122;0.9800;0.8517;American_lobster___Northern_lobster___Maine_lobster___Homarus_americanus
123;0.9200;0.7861;spiny_lobster___langouste___rock_lobster___crawfish___crayfish___sea_crawfish
124;0.9200;0.7922;crayfish___crawfish___crawdad___crawdaddy
125;1.0000;0.7033;hermit_crab
126;0.8600;0.6373;isopod
127;0.9400;0.4628;white_stork___Ciconia_ciconia
128;0.9600;0.5614;black_stork___Ciconia_nigra
129;1.0000;0.7292;spoonbill
130;1.0000;0.7462;flamingo
131;0.9600;0.6823;little_blue_heron___Egretta_caerulea
132;0.9800;0.5724;American_egret___great_white_heron___Egretta_albus
133;0.9400;0.6606;bittern
134;0.0000;0.7566;crane
135;1.0000;0.7565;limpkin___Aramus_pictus
136;0.9800;0.6344;European_gallinule___Porphyrio_porphyrio
137;0.9800;0.4591;American_coot___marsh_hen___mud_hen___water_hen___Fulica_americana
138;0.9800;0.6870;bustard
139;1.0000;0.6488;ruddy_turnstone___Arenaria_interpres
140;1.0000;0.5426;red-backed_sandpiper___dunlin___Erolia_alpina
141;0.9600;0.4946;redshank___Tringa_totanus
142;1.0000;0.6057;dowitcher
143;0.9800;0.5323;oystercatcher___oyster_catcher
144;1.0000;0.7168;pelican
145;0.9800;0.6404;king_penguin___Aptenodytes_patagonica
146;1.0000;0.6613;albatross___mollymawk
147;0.9800;0.5544;grey_whale___gray_whale___devilfish___Eschrichtius_gibbosus___Eschrichtius_robustus
148;1.0000;0.4192;killer_whale___killer___orca___grampus___sea_wolf___Orcinus_orca
149;0.9600;0.7450;dugong___Dugong_dugon
150;0.9200;0.6020;sea_lion
151;0.9400;0.8372;Chihuahua
152;0.9800;0.8422;Japanese_spaniel
153;0.9600;0.8489;Maltese_dog___Maltese_terrier___Maltese
154;0.9600;0.8465;Pekinese___Pekingese___Peke
155;0.9600;0.8360;Shih-Tzu
156;1.0000;0.8298;Blenheim_spaniel
157;0.9600;0.8606;papillon
158;1.0000;0.8144;toy_terrier
159;0.9800;0.7802;Rhodesian_ridgeback
160;1.0000;0.7728;Afghan_hound___Afghan
161;0.9200;0.8152;basset___basset_hound
162;0.9800;0.8095;beagle
163;0.7600;0.8326;bloodhound___sleuthhound
164;0.9600;0.8612;bluetick
165;0.9400;0.8329;black-and-tan_coonhound
166;1.0000;0.8659;Walker_hound___Walker_foxhound
167;0.8600;0.8564;English_foxhound
168;0.9600;0.8517;redbone
169;1.0000;0.8168;borzoi___Russian_wolfhound
170;0.8600;0.8340;Irish_wolfhound
171;0.9600;0.8441;Italian_greyhound
172;0.9800;0.7982;whippet
173;0.9400;0.7564;Ibizan_hound___Ibizan_Podenco
174;1.0000;0.8066;Norwegian_elkhound___elkhound
175;0.8800;0.8496;otterhound___otter_hound
176;0.9800;0.7665;Saluki___gazelle_hound
177;1.0000;0.7960;Scottish_deerhound___deerhound
178;0.9600;0.8083;Weimaraner
179;0.9800;0.8548;Staffordshire_bullterrier___Staffordshire_bull_terrier
180;0.9200;0.8803;American_Staffordshire_terrier___Staffordshire_terrier___American_pit_bull_terrier___pit_bull_terrier
181;0.9800;0.7859;Bedlington_terrier
182;0.9400;0.7945;Border_terrier
183;0.9600;0.8434;Kerry_blue_terrier
184;0.9800;0.7995;Irish_terrier
185;0.9400;0.7608;Norfolk_terrier
186;0.9800;0.8085;Norwich_terrier
187;0.8800;0.7921;Yorkshire_terrier
188;0.9800;0.7713;wire-haired_fox_terrier
189;0.9600;0.7751;Lakeland_terrier
190;0.9800;0.8613;Sealyham_terrier___Sealyham
191;0.9000;0.7900;Airedale___Airedale_terrier
192;0.9600;0.7470;cairn___cairn_terrier
193;0.9200;0.8055;Australian_terrier
194;0.9400;0.8689;Dandie_Dinmont___Dandie_Dinmont_terrier
195;1.0000;0.8120;Boston_bull___Boston_terrier
196;0.9600;0.8190;miniature_schnauzer
197;1.0000;0.8076;giant_schnauzer
198;1.0000;0.8739;standard_schnauzer
199;0.9800;0.7937;Scotch_terrier___Scottish_terrier___Scottie
200;1.0000;0.8300;Tibetan_terrier___chrysanthemum_dog
201;0.9800;0.7876;silky_terrier___Sydney_silky
202;1.0000;0.8445;soft-coated_wheaten_terrier
203;1.0000;0.7690;West_Highland_white_terrier
204;0.9800;0.8715;Lhasa___Lhasa_apso
205;0.9600;0.7985;flat-coated_retriever
206;0.9600;0.7309;curly-coated_retriever
207;0.9800;0.8259;golden_retriever
208;0.9600;0.8410;Labrador_retriever
209;0.9600;0.7717;Chesapeake_Bay_retriever
210;0.9400;0.7798;German_short-haired_pointer
211;0.9600;0.7963;vizsla___Hungarian_pointer
212;0.9400;0.8452;English_setter
213;0.9400;0.8595;Irish_setter___red_setter
214;0.9400;0.8060;Gordon_setter
215;0.9800;0.7971;Brittany_spaniel
216;0.9800;0.8511;clumber___clumber_spaniel
217;1.0000;0.7650;English_springer___English_springer_spaniel
218;1.0000;0.8310;Welsh_springer_spaniel
219;0.9600;0.8553;cocker_spaniel___English_cocker_spaniel___cocker
220;0.9200;0.7256;Sussex_spaniel
221;0.9800;0.7614;Irish_water_spaniel
222;0.9800;0.8314;kuvasz
223;0.9800;0.7339;schipperke
224;0.9600;0.7990;groenendael
225;0.9800;0.8406;malinois
226;0.7800;0.8042;briard
227;0.9400;0.8500;kelpie
228;0.9600;0.7924;komondor
229;0.9800;0.8372;Old_English_sheepdog___bobtail
230;0.9600;0.7942;Shetland_sheepdog___Shetland_sheep_dog___Shetland
231;0.9600;0.8586;collie
232;0.9400;0.7949;Border_collie
233;0.9200;0.7978;Bouvier_des_Flandres___Bouviers_des_Flandres
234;1.0000;0.8263;Rottweiler
235;1.0000;0.8498;German_shepherd___German_shepherd_dog___German_police_dog___alsatian
236;0.9800;0.7496;Doberman___Doberman_pinscher
237;0.9600;0.8026;miniature_pinscher
238;0.9600;0.7816;Greater_Swiss_Mountain_dog
239;1.0000;0.8040;Bernese_mountain_dog
240;1.0000;0.7836;Appenzeller
241;0.9800;0.8422;EntleBucher
242;0.9800;0.8140;boxer
243;1.0000;0.8884;bull_mastiff
244;1.0000;0.8840;Tibetan_mastiff
245;1.0000;0.8330;French_bulldog
246;0.8600;0.8575;Great_Dane
247;0.9800;0.8195;Saint_Bernard___St_Bernard
248;0.9600;0.8508;Eskimo_dog___husky
249;0.9600;0.8099;malamute___malemute___Alaskan_malamute
250;0.9800;0.8237;Siberian_husky
251;0.9800;0.8062;dalmatian___coach_dog___carriage_dog
252;0.9600;0.8398;affenpinscher___monkey_pinscher___monkey_dog
253;1.0000;0.8430;basenji
254;1.0000;0.7679;pug___pug-dog
255;1.0000;0.8771;Leonberg
256;0.9400;0.8350;Newfoundland___Newfoundland_dog
257;0.9200;0.8384;Great_Pyrenees
258;1.0000;0.7976;Samoyed___Samoyede
259;1.0000;0.8754;Pomeranian
260;0.9800;0.8459;chow___chow_chow
261;0.9800;0.8664;keeshond
262;1.0000;0.8645;Brabancon_griffon
263;0.9800;0.7768;Pembroke___Pembroke_Welsh_corgi
264;1.0000;0.7994;Cardigan___Cardigan_Welsh_corgi
265;0.9800;0.8097;toy_poodle
266;0.9400;0.8290;miniature_poodle
267;1.0000;0.8002;standard_poodle
268;1.0000;0.8800;Mexican_hairless
269;0.9400;0.8242;timber_wolf___grey_wolf___gray_wolf___Canis_lupus
270;0.9800;0.7567;white_wolf___Arctic_wolf___Canis_lupus_tundrarum
271;0.9600;0.8351;red_wolf___maned_wolf___Canis_rufus___Canis_niger
272;0.9000;0.7535;coyote___prairie_wolf___brush_wolf___Canis_latrans
273;0.9000;0.7175;dingo___warrigal___warragal___Canis_dingo
274;0.9800;0.7820;dhole___Cuon_alpinus
275;1.0000;0.8059;African_hunting_dog___hyena_dog___Cape_hunting_dog___Lycaon_pictus
276;0.9800;0.6933;hyena___hyaena
277;0.9400;0.7963;red_fox___Vulpes_vulpes
278;0.9800;0.7213;kit_fox___Vulpes_macrotis
279;1.0000;0.8085;Arctic_fox___white_fox___Alopex_lagopus
280;0.9600;0.7636;grey_fox___gray_fox___Urocyon_cinereoargenteus
281;0.9600;0.8870;tabby___tabby_cat
282;0.9600;0.8705;tiger_cat
283;1.0000;0.9249;Persian_cat
284;0.9800;0.9149;Siamese_cat___Siamese
285;0.8800;0.8062;Egyptian_cat
286;0.9600;0.8499;cougar___puma___catamount___mountain_lion___painter___panther___Felis_concolor
287;0.9200;0.8533;lynx___catamount
288;1.0000;0.8823;leopard___Panthera_pardus
289;0.9800;0.8751;snow_leopard___ounce___Panthera_uncia
290;0.9800;0.8814;jaguar___panther___Panthera_onca___Felis_onca
291;1.0000;0.8975;lion___king_of_beasts___Panthera_leo
292;1.0000;0.8804;tiger___Panthera_tigris
293;0.9800;0.8220;cheetah___chetah___Acinonyx_jubatus
294;0.9600;0.7617;brown_bear___bruin___Ursus_arctos
295;1.0000;0.7528;American_black_bear___black_bear___Ursus_americanus___Euarctos_americanus
296;0.9800;0.6823;ice_bear___polar_bear___Ursus_Maritimus___Thalarctos_maritimus
297;0.9200;0.8196;sloth_bear___Melursus_ursinus___Ursus_ursinus
298;0.9400;0.6363;mongoose
299;0.9800;0.7245;meerkat___mierkat
300;0.9600;0.7845;tiger_beetle
301;0.9800;0.3257;ladybug___ladybeetle___lady_beetle___ladybird___ladybird_beetle
302;0.9600;0.8765;ground_beetle___carabid_beetle
303;0.9400;0.8102;long-horned_beetle___longicorn___longicorn_beetle
304;0.9800;0.4861;leaf_beetle___chrysomelid
305;0.9600;0.4103;dung_beetle
306;0.9600;0.7671;rhinoceros_beetle
307;1.0000;0.6787;weevil
308;0.9600;0.7298;fly
309;0.9800;0.4207;bee
310;0.9000;0.6976;ant___emmet___pismire
311;0.9600;0.7967;grasshopper___hopper
312;0.9800;0.8157;cricket
313;0.9600;0.8226;walking_stick___walkingstick___stick_insect
314;0.8400;0.5224;cockroach___roach
315;0.9400;0.8437;mantis___mantid
316;0.9800;0.7241;cicada___cicala
317;1.0000;0.6358;leafhopper
318;0.9400;0.7685;lacewing___lacewing_fly
319;1.0000;0.7579;dragonfly___darning_needle___devil's_darning_needle___sewing_needle___snake_feeder___snake_doctor___mosquito_hawk___skeeter_hawk
320;1.0000;0.6768;damselfly
321;0.9800;0.7373;admiral
322;1.0000;0.5510;ringlet___ringlet_butterfly
323;0.9400;0.6064;monarch___monarch_butterfly___milkweed_butterfly___Danaus_plexippus
324;1.0000;0.5896;cabbage_butterfly
325;1.0000;0.6665;sulphur_butterfly___sulfur_butterfly
326;1.0000;0.7002;lycaenid___lycaenid_butterfly
327;0.9800;0.7594;starfish___sea_star
328;0.9600;0.7267;sea_urchin
329;0.9200;0.6389;sea_cucumber___holothurian
330;0.9600;0.7289;wood_rabbit___cottontail___cottontail_rabbit
331;1.0000;0.7116;hare
332;1.0000;0.8261;Angora___Angora_rabbit
333;1.0000;0.7801;hamster
334;0.9400;0.7519;porcupine___hedgehog
335;0.9200;0.6896;fox_squirrel___eastern_fox_squirrel___Sciurus_niger
336;0.9200;0.5186;marmot
337;0.9800;0.6914;beaver
338;0.9600;0.7406;guinea_pig___Cavia_cobaya
339;0.9800;0.8422;sorrel
340;0.9800;0.7860;zebra
341;0.9200;0.6688;hog___pig___grunter___squealer___Sus_scrofa
342;0.9800;0.7137;wild_boar___boar___Sus_scrofa
343;0.9800;0.7033;warthog
344;0.9800;0.6935;hippopotamus___hippo___river_horse___Hippopotamus_amphibius
345;0.9600;0.6537;ox
346;0.9800;0.6042;water_buffalo___water_ox___Asiatic_buffalo___Bubalus_bubalis
347;0.9800;0.7217;bison
348;0.9800;0.7743;ram___tup
349;1.0000;0.6673;bighorn___bighorn_sheep___cimarron___Rocky_Mountain_bighorn___Rocky_Mountain_sheep___Ovis_canadensis
350;1.0000;0.6512;ibex___Capra_ibex
351;1.0000;0.5946;hartebeest
352;0.9800;0.6334;impala___Aepyceros_melampus
353;0.9800;0.5716;gazelle
354;0.9600;0.7532;Arabian_camel___dromedary___Camelus_dromedarius
355;0.9400;0.8165;llama
356;0.9800;0.7386;weasel
357;0.9400;0.6084;mink
358;0.9600;0.7893;polecat___fitch___foulmart___foumart___Mustela_putorius
359;1.0000;0.7064;black-footed_ferret___ferret___Mustela_nigripes
360;0.9600;0.7412;otter
361;0.9400;0.6722;skunk___polecat___wood_pussy
362;0.9800;0.7888;badger
363;0.9400;0.6766;armadillo
364;1.0000;0.7267;three-toed_sloth___ai___Bradypus_tridactylus
365;0.9600;0.8618;orangutan___orang___orangutang___Pongo_pygmaeus
366;0.9800;0.8744;gorilla___Gorilla_gorilla
367;0.9600;0.8474;chimpanzee___chimp___Pan_troglodytes
368;0.9400;0.8627;gibbon___Hylobates_lar
369;0.9600;0.8697;siamang___Hylobates_syndactylus___Symphalangus_syndactylus
370;0.9600;0.8283;guenon___guenon_monkey
371;0.9200;0.7942;patas___hussar_monkey___Erythrocebus_patas
372;1.0000;0.7761;baboon
373;0.9400;0.8511;macaque
374;0.9000;0.8481;langur
