id;acc;crs;name
121;0.9400;0.8027;king_crab___Alaska_crab___Alaskan_king_crab___Alaska_king_crab___Paralithodes_camtschatica
122;0.9800;0.8508;American_lobster___Northern_lobster___Maine_lobster___Homarus_americanus
123;0.9200;0.7900;spiny_lobster___langouste___rock_lobster___crawfish___crayfish___sea_crawfish
124;0.9200;0.7992;crayfish___crawfish___crawdad___crawdaddy
125;1.0000;0.7008;hermit_crab
126;0.8600;0.6404;isopod
127;0.9400;0.4670;white_stork___Ciconia_ciconia
128;0.9600;0.5614;black_stork___Ciconia_nigra
129;1.0000;0.7301;spoonbill
130;1.0000;0.7303;flamingo
131;0.9600;0.6839;little_blue_heron___Egretta_caerulea
132;0.9800;0.5744;American_egret___great_white_heron___Egretta_albus
133;0.9400;0.6610;bittern
134;0.0000;0.7797;crane
135;1.0000;0.7567;limpkin___Aramus_pictus
136;0.9800;0.6342;European_gallinule___Porphyrio_porphyrio
137;0.9800;0.4592;American_coot___marsh_hen___mud_hen___water_hen___Fulica_americana
138;0.9800;0.6896;bustard
139;1.0000;0.6512;ruddy_turnstone___Arenaria_interpres
140;1.0000;0.5433;red-backed_sandpiper___dunlin___Erolia_alpina
141;0.9600;0.4963;redshank___Tringa_totanus
142;1.0000;0.6054;dowitcher
143;0.9800;0.5327;oystercatcher___oyster_catcher
144;1.0000;0.7175;pelican
145;0.9800;0.6405;king_penguin___Aptenodytes_patagonica
146;1.0000;0.6609;albatross___mollymawk
147;0.9800;0.5543;grey_whale___gray_whale___devilfish___Eschrichtius_gibbosus___Eschrichtius_robustus
148;1.0000;0.4225;killer_whale___killer___orca___grampus___sea_wolf___Orcinus_orca
149;0.9600;0.7427;dugong___Dugong_dugon
150;0.9200;0.6011;sea_lion
151;0.9400;0.8481;Chihuahua
152;0.9800;0.8403;Japanese_spaniel
153;0.9600;0.8498;Maltese_dog___Maltese_terrier___Maltese
154;0.9600;0.8444;Pekinese___Pekingese___Peke
155;0.9600;0.8395;Shih-Tzu
156;1.0000;0.8304;Blenheim_spaniel
157;0.9600;0.8587;papillon
158;1.0000;0.8144;toy_terrier
159;0.9800;0.7842;Rhodesian_ridgeback
160;1.0000;0.7735;Afghan_hound___Afghan
161;0.9200;0.8188;basset___basset_hound
162;0.9800;0.8180;beagle
163;0.7600;0.8324;bloodhound___sleuthhound
164;0.9600;0.8630;bluetick
165;0.9400;0.8314;black-and-tan_coonhound
166;1.0000;0.8660;Walker_hound___Walker_foxhound
167;0.8600;0.8570;English_foxhound
168;0.9600;0.8519;redbone
169;1.0000;0.8172;borzoi___Russian_wolfhound
170;0.8600;0.8344;Irish_wolfhound
171;0.9600;0.8424;Italian_greyhound
172;0.9800;0.7962;whippet
173;0.9400;0.7587;Ibizan_hound___Ibizan_Podenco
174;1.0000;0.8086;Norwegian_elkhound___elkhound
175;0.8800;0.8513;otterhound___otter_hound
176;0.9800;0.7712;Saluki___gazelle_hound
177;1.0000;0.7948;Scottish_deerhound___deerhound
178;0.9600;0.8150;Weimaraner
179;0.9800;0.8559;Staffordshire_bullterrier___Staffordshire_bull_terrier
180;0.9200;0.8893;American_Staffordshire_terrier___Staffordshire_terrier___American_pit_bull_terrier___pit_bull_terrier
181;0.9800;0.7882;Bedlington_terrier
182;0.9400;0.7938;Border_terrier
183;0.9600;0.8416;Kerry_blue_terrier
184;0.9800;0.7986;Irish_terrier
185;0.9400;0.7616;Norfolk_terrier
186;0.9800;0.8157;Norwich_terrier
187;0.8800;0.7953;Yorkshire_terrier
188;0.9800;0.7733;wire-haired_fox_terrier
189;0.9600;0.7756;Lakeland_terrier
190;0.9800;0.8607;Sealyham_terrier___Sealyham
191;0.9000;0.7976;Airedale___Airedale_terrier
192;0.9600;0.7474;cairn___cairn_terrier
193;0.9200;0.8030;Australian_terrier
194;0.9400;0.8691;Dandie_Dinmont___Dandie_Dinmont_terrier
195;1.0000;0.8111;Boston_bull___Boston_terrier
196;0.9600;0.8204;miniature_schnauzer
197;1.0000;0.8064;giant_schnauzer
198;1.0000;0.8740;standard_schnauzer
199;0.9800;0.7978;Scotch_terrier___Scottish_terrier___Scottie
200;1.0000;0.8302;Tibetan_terrier___chrysanthemum_dog
201;0.9800;0.7945;silky_terrier___Sydney_silky
202;1.0000;0.8469;soft-coated_wheaten_terrier
203;1.0000;0.7679;West_Highland_white_terrier
204;0.9800;0.8703;Lhasa___Lhasa_apso
205;0.9600;0.8000;flat-coated_retriever
206;0.9600;0.7305;curly-coated_retriever
207;0.9800;0.8280;golden_retriever
208;0.9600;0.8396;Labrador_retriever
209;0.9600;0.7735;Chesapeake_Bay_retriever
210;0.9400;0.8029;German_short-haired_pointer
211;0.9600;0.7977;vizsla___Hungarian_pointer
212;0.9400;0.8466;English_setter
213;0.9400;0.8592;Irish_setter___red_setter
214;0.9400;0.8059;Gordon_setter
215;0.9800;0.7964;Brittany_spaniel
216;0.9800;0.8503;clumber___clumber_spaniel
217;1.0000;0.7643;English_springer___English_springer_spaniel
218;1.0000;0.8310;Welsh_springer_spaniel
219;0.9600;0.8581;cocker_spaniel___English_cocker_spaniel___cocker
220;0.9200;0.7281;Sussex_spaniel
221;0.9800;0.7609;Irish_water_spaniel
222;0.9800;0.8320;kuvasz
223;0.9800;0.7331;schipperke
224;0.9600;0.8018;groenendael
225;0.9800;0.8406;malinois
226;0.7800;0.8091;briard
227;0.9400;0.8488;kelpie
228;0.9600;0.8082;komondor
229;0.9800;0.8375;Old_English_sheepdog___bobtail
